total_sediment_thick,seafloor_age,conv_rate,subducting_abs_rate,conv_ortho
178.89,136.59,3.12,0.49,3.12
178.89,136.59,3.13,0.48,2.93
178.89,136.59,3.13,0.48,2.23
178.89,136.59,3.13,0.48,2.93
178.39,136.1,3.24,0.42,2.33
178.39,136.1,3.24,0.42,2.33
178.39,136.1,3.24,0.42,2.33
178.39,136.1,3.24,0.42,2.33
178.89,136.59,3.13,0.48,2.23
178.39,136.1,3.24,0.42,2.33
178.89,136.59,3.13,0.48,2.93
178.89,136.59,3.13,0.48,2.93
178.89,136.59,3.13,0.48,2.93
178.89,136.59,3.13,0.48,2.93
178.39,136.1,3.29,0.39,2.3
178.39,136.1,3.24,0.42,2.33
178.39,136.1,3.28,0.4,2.78
178.89,136.59,3.13,0.48,2.23
178.39,136.1,3.24,0.42,2.33
178.89,136.59,3.13,0.48,2.93
178.89,136.59,3.13,0.48,2.93
178.89,136.59,3.09,0.49,3.09
178.89,136.59,3.12,0.49,3.12
217.1,156.97,2.58,0.86,2.02
178.89,136.59,3.12,0.49,3.12
178.39,136.1,3.24,0.42,2.33
178.39,136.1,3.24,0.42,2.33
178.39,136.1,3.28,0.4,2.78
178.39,136.1,3.24,0.42,2.33
178.39,57.66,3.38,0.34,2.85
178.39,136.1,3.28,0.4,2.78
125.81,57.66,3.46,-0.34,3.08
178.39,136.1,3.36,0.35,2.82
125.81,57.66,14.94,-11.69,13.98
138.07,66.99,14.33,-11.1,14.21
138.07,66.99,14.33,-11.1,14.21
131.84,59.74,14.78,-11.54,13.87
146.18,77.79,13.84,-10.62,13.79
146.18,77.79,13.88,-10.65,13.83
143.84,74.32,14.04,-10.81,13.99
151.43,87.08,13.08,-9.88,11.97
151.9,88.25,13.0,-9.8,11.88
151.43,87.08,13.24,-10.03,12.14
146.18,77.79,13.92,-10.69,13.87
143.84,74.32,14.08,-10.85,14.03
146.18,77.79,13.88,-10.65,13.83
138.07,66.99,14.23,-10.99,14.19
138.07,66.99,14.25,-11.02,14.24
153.06,90.91,12.62,-9.42,10.32
151.9,88.25,12.92,-9.72,11.79
151.43,87.08,13.12,-9.91,12.01
151.43,87.08,13.36,-10.14,12.26
155.99,96.57,11.03,-7.89,6.38
155.68,96.57,11.11,-7.96,2.98
159.2,105.69,8.64,-5.71,8.64
159.89,107.36,8.16,-5.27,8.16
159.89,107.36,8.21,-5.32,8.21
159.89,107.36,8.43,-5.51,8.42
159.2,105.69,8.69,-5.76,8.56
158.52,103.99,8.91,-5.95,8.78
159.2,105.69,8.64,-5.71,8.64
158.52,103.99,9.12,-6.15,8.99
158.12,103.04,9.39,-6.39,9.26
158.52,103.99,9.12,-6.15,8.99
157.37,101.14,9.7,-6.67,9.56
157.37,101.14,9.89,-6.85,9.75
157.75,102.1,9.6,-6.58,9.48
157.37,101.14,9.84,-6.8,9.7
157.75,102.1,9.6,-6.58,9.48
157.75,102.1,9.6,-6.58,9.48
158.52,103.99,9.12,-6.15,8.99
158.12,103.04,9.33,-6.34,9.21
156.97,100.15,10.03,-6.97,9.02
156.97,100.15,10.07,-7.01,9.07
156.97,100.15,10.03,-6.97,9.02
156.56,99.13,10.37,-7.29,10.01
156.56,99.13,10.41,-7.33,8.64
156.56,99.13,10.37,-7.29,10.01
156.56,99.13,10.41,-7.33,8.64
156.56,99.13,10.37,-7.29,10.01
156.56,99.13,10.37,-7.29,10.01
156.56,99.13,10.41,-7.33,8.64
156.28,98.08,10.68,-7.57,7.41
156.28,97.32,10.78,-7.66,5.94
156.28,97.32,10.78,-7.66,5.94
156.28,98.08,10.75,-7.64,7.51
155.99,96.57,11.0,-7.87,6.34
155.99,97.32,10.92,-7.79,6.19
156.28,97.32,10.81,-7.69,5.99
156.56,98.08,10.61,-7.5,7.31
156.56,98.08,10.57,-7.47,8.83
156.28,98.08,10.75,-7.64,7.51
156.56,98.08,10.53,-7.43,8.79
156.56,98.08,10.61,-7.5,7.31
156.56,98.08,10.57,-7.47,8.83
156.97,100.15,10.03,-6.97,9.02
156.97,100.15,10.03,-6.97,9.02
156.56,99.13,10.41,-7.33,8.64
156.97,100.15,10.16,-7.09,9.16
155.99,97.32,10.86,-7.74,6.09
125.81,57.66,3.41,0.34,2.88
143.84,74.32,14.12,-10.89,14.07
138.07,66.99,14.37,-11.13,14.3
138.07,66.99,14.2,-10.96,14.16
131.84,59.74,14.78,-11.54,13.87
151.43,87.08,13.12,-9.91,12.01
146.18,77.79,13.92,-10.69,13.87
153.06,90.91,12.62,-9.42,10.32
151.9,88.25,12.88,-9.68,11.75
153.74,92.36,12.43,-9.24,10.09
153.74,92.36,12.47,-9.28,10.14
153.06,90.91,12.62,-9.42,10.32
151.43,87.08,13.12,-9.91,12.01
151.43,87.08,13.12,-9.91,12.01
153.74,92.36,12.39,-9.2,10.05
153.74,92.36,12.47,-9.28,10.14
153.74,92.36,12.28,-9.09,9.91
154.65,94.44,11.94,-8.77,9.49
154.65,94.44,12.06,-8.88,9.63
153.74,92.36,12.17,-8.98,9.77
155.4,96.28,11.38,-8.23,6.88
155.68,96.57,11.11,-7.96,2.98
155.4,96.28,11.3,-8.14,6.74
155.15,95.69,11.53,-8.37,7.12
154.9,95.07,11.62,-8.45,7.26
155.15,95.69,11.47,-8.31,7.03
154.9,95.07,11.74,-8.57,7.45
155.99,96.57,11.03,-7.89,6.38
155.68,96.57,11.09,-7.95,6.48
155.99,97.32,10.86,-7.74,6.09
155.99,97.32,10.92,-7.79,6.19
155.68,96.57,11.09,-7.95,6.48
155.68,96.57,11.11,-7.96,2.98
155.68,96.57,11.09,-7.95,6.48
153.74,92.36,12.43,-9.24,10.09
154.65,94.44,11.94,-8.77,9.49
153.74,92.36,12.17,-8.98,9.77
153.74,92.36,12.17,-8.98,9.77
153.74,92.36,12.28,-9.09,9.91
155.4,96.28,11.38,-8.23,6.88
155.15,95.69,11.59,-8.42,7.22
155.68,96.57,11.11,-7.96,2.98
155.4,96.28,11.38,-8.23,6.88
155.4,96.28,11.3,-8.14,6.74
155.4,96.28,11.38,-8.23,6.88
154.65,94.44,12.09,-8.91,9.67
154.9,95.07,11.62,-8.45,7.26
155.15,95.69,11.53,-8.37,7.12
154.65,94.44,11.94,-8.77,9.49
112.12,44.15,6.58,-3.87,6.58
114.06,45.58,7.03,-4.27,6.87
117.31,47.37,7.2,-4.42,7.05
151.74,88.19,7.54,-4.72,7.39
161.66,111.49,7.71,-4.87,7.57
151.74,88.19,7.49,-4.67,7.34
156.97,100.15,10.03,-6.97,9.02
156.56,99.13,10.37,-7.29,10.01
156.97,100.15,9.98,-6.93,9.84
156.97,100.15,10.03,-6.97,9.02
157.75,102.1,9.55,-6.53,9.42
157.37,101.14,9.75,-6.72,9.6
158.52,103.99,9.01,-6.05,8.89
158.12,103.04,9.28,-6.29,9.16
158.12,103.04,9.33,-6.34,9.21
159.2,105.69,8.64,-5.71,8.64
159.2,105.69,8.75,-5.8,8.61
161.66,111.49,7.88,-5.02,7.74
159.89,107.36,8.37,-5.47,8.37
159.89,107.36,8.37,-5.47,8.37
159.2,105.69,8.64,-5.71,8.64
159.89,107.36,8.48,-5.56,8.48
159.2,105.69,8.8,-5.85,8.67
159.2,105.69,8.69,-5.76,8.56
117.31,47.37,7.32,-4.52,7.16
151.74,88.19,7.6,-4.77,7.45
112.12,44.15,6.8,-4.07,6.8
114.06,45.58,7.03,-4.27,6.87
114.06,45.58,6.86,-4.12,6.7
114.06,45.58,7.09,-4.32,6.93
114.06,45.58,7.09,-4.32,6.93
110.97,43.37,6.35,-3.67,6.35
112.12,44.15,6.64,-3.92,6.63
104.36,38.94,5.67,-3.06,5.66
108.72,41.8,6.07,-3.41,6.07
108.72,41.8,5.84,-3.21,5.83
110.97,43.37,6.3,-3.62,6.29
108.72,41.8,6.18,-3.51,6.18
108.72,41.8,6.18,-3.51,6.18
112.12,44.15,6.47,-3.77,6.46
112.12,44.15,6.41,-3.72,6.41
112.12,44.15,6.8,-4.07,6.8
112.12,44.15,6.8,-4.07,6.8
112.12,44.15,6.8,-4.07,6.8
112.12,44.15,6.58,-3.87,6.58
112.12,44.15,6.8,-4.07,6.8
97.76,34.63,5.07,-2.54,5.03
100.34,36.27,5.27,-2.71,5.01
93.1,31.68,4.51,-2.08,4.34
93.1,31.68,4.6,-2.15,4.2
93.1,31.68,4.65,-2.19,4.26
77.63,22.34,3.16,-1.16,2.35
86.0,27.39,3.67,-1.45,3.56
77.63,22.34,3.08,-1.15,2.24
86.0,27.39,3.72,-1.48,3.47
86.0,27.39,3.72,-1.48,3.47
77.63,22.34,3.05,-1.15,2.2
86.0,27.39,3.72,-1.48,3.47
86.0,27.39,3.72,-1.48,3.47
90.8,31.68,4.25,-1.88,4.0
90.8,31.12,4.2,-1.84,4.01
90.8,29.37,4.0,-1.68,3.79
90.8,31.12,4.15,-1.8,3.96
89.29,29.37,3.9,-1.61,3.69
90.8,31.12,4.2,-1.84,4.01
100.34,36.27,5.27,-2.71,5.01
93.1,31.68,4.6,-2.15,4.2
97.76,34.63,5.17,-2.63,5.13
100.34,36.27,5.56,-2.96,5.55
100.34,36.27,5.56,-2.96,5.55
90.8,31.68,4.25,-1.88,4.0
93.1,31.68,4.51,-2.08,4.34
104.36,38.94,5.67,-3.06,5.66
93.1,31.68,4.6,-2.15,4.2
93.1,31.68,4.6,-2.15,4.2
97.76,34.63,5.17,-2.63,5.13
119.6,7.15,8.48,-6.55,0.86
79.33,8.18,1.56,1.48,0.88
77.63,22.34,3.02,-1.14,2.61
69.56,17.45,2.58,-1.05,2.27
69.56,17.45,2.58,-1.05,2.27
73.81,10.66,1.68,1.35,1.08
69.56,17.45,2.58,-1.05,2.27
69.56,17.45,2.58,-1.05,2.27
73.55,19.9,2.93,-1.11,2.67
73.55,19.9,2.77,-1.07,2.57
77.63,22.34,3.02,-1.14,2.61
77.63,22.34,3.02,-1.14,2.61
77.63,22.34,3.02,-1.14,2.61
69.56,17.45,2.63,-1.05,2.32
73.55,19.9,2.77,-1.07,2.57
73.55,19.9,2.93,-1.11,2.67
151.74,88.19,7.66,-4.82,7.51
117.31,47.37,7.2,-4.42,7.05
151.74,88.19,7.43,-4.62,7.28
161.66,111.49,7.77,-4.92,7.62
160.07,107.82,7.84,-4.99,7.7
177.67,135.4,3.29,0.43,2.27
152.3,89.15,12.91,-9.71,11.78
156.93,100.04,9.95,-6.91,9.82
155.39,95.45,11.11,-7.97,6.51
178.19,135.91,3.13,0.53,2.92
177.67,135.4,3.24,0.46,2.31
142.87,72.97,14.19,-10.96,14.14
158.05,102.83,8.92,-5.97,8.8
156.13,98.05,10.43,-7.35,8.68
155.71,97.01,10.77,-7.66,7.55
155.71,97.01,10.55,-7.45,8.82
153.4,92.24,12.31,-9.12,9.94
154.4,93.88,11.7,-8.53,7.39
155.21,95.45,11.13,-7.99,3.01
110.01,42.7,6.82,-4.08,6.81
106.86,40.58,6.14,-3.48,6.14
112.03,44.11,6.87,-4.13,6.72
75.63,21.13,3.11,-1.13,2.12
90.88,30.33,4.52,-2.08,4.36
178.19,135.91,3.13,0.53,2.92
175.9,133.62,3.23,0.47,3.21
177.67,135.4,3.24,0.46,2.31
178.19,135.91,3.13,0.53,2.92
178.19,135.91,3.13,0.53,2.92
143.51,74.16,3.4,0.38,2.85
177.67,135.4,3.24,0.46,2.31
178.19,135.91,3.13,0.53,2.92
178.19,135.91,3.09,0.54,3.09
177.67,135.4,3.29,0.43,2.27
177.67,135.4,3.24,0.46,2.31
136.95,65.44,14.6,-11.36,14.17
143.51,74.16,14.86,-11.62,14.15
150.72,85.63,13.34,-10.13,12.25
151.13,86.44,13.15,-9.94,12.04
145.2,76.37,14.11,-10.88,14.06
155.21,95.8,11.23,-8.09,6.63
159.4,106.17,8.39,-5.48,8.39
159.4,106.17,8.55,-5.63,8.55
158.72,104.49,8.87,-5.92,8.74
157.31,101.0,9.46,-6.45,9.34
156.93,100.04,9.86,-6.82,9.72
157.68,101.93,9.41,-6.4,9.29
156.54,99.06,10.05,-6.99,9.05
156.13,98.05,10.43,-7.35,8.68
156.54,99.06,10.13,-7.07,9.14
155.71,97.01,10.59,-7.49,8.86
155.39,96.24,10.88,-7.76,6.12
155.71,97.01,10.8,-7.68,5.98
155.71,97.01,10.63,-7.52,7.34
156.13,98.05,10.3,-7.23,9.94
142.87,72.97,14.19,-10.96,14.14
153.4,91.56,12.57,-9.38,10.26
152.3,89.15,13.03,-9.83,11.91
154.12,92.24,12.08,-8.9,9.66
153.4,92.24,12.31,-9.12,9.94
154.93,95.12,11.38,-8.22,6.87
154.66,94.5,11.58,-8.42,7.2
155.39,95.45,11.02,-7.89,6.37
155.39,95.45,11.11,-7.97,6.51
154.12,92.24,12.08,-8.9,9.66
154.66,94.5,11.49,-8.33,7.06
154.66,94.5,11.64,-8.48,7.3
108.96,41.97,6.31,-3.63,6.31
125.58,56.45,7.28,-4.48,7.13
158.05,102.83,9.14,-6.16,9.02
157.31,101.0,9.62,-6.6,9.5
160.07,107.82,8.28,-5.38,8.28
158.72,104.49,8.65,-5.72,8.65
112.03,44.11,6.87,-4.13,6.72
125.58,56.45,7.33,-4.53,7.18
103.46,38.26,5.74,-3.12,5.73
110.01,42.7,6.48,-3.78,6.48
110.01,42.7,6.71,-3.98,6.7
90.88,30.33,4.47,-2.04,4.32
95.47,33.18,5.13,-2.59,5.1
75.63,21.13,3.06,-1.13,2.23
85.78,27.24,3.95,-1.64,3.76
85.78,27.24,3.95,-1.64,3.76
95.47,33.18,5.19,-2.64,5.15
90.88,30.33,4.57,-2.12,4.41
95.47,33.18,5.23,-2.68,4.98
60.65,9.6,1.67,1.31,1.1
71.53,18.68,2.88,-1.07,2.63
67.48,16.27,2.59,-1.01,2.29
71.53,18.68,2.93,-1.09,2.69
155.13,96.54,7.56,-4.74,7.42
178.19,135.91,3.12,0.53,3.12
178.19,135.91,3.13,0.53,2.92
178.19,135.91,3.12,0.53,3.12
178.19,135.91,3.13,0.53,2.92
178.19,135.91,3.13,0.52,2.21
178.19,135.91,3.13,0.53,2.92
177.67,135.4,3.24,0.46,2.31
177.67,135.4,3.24,0.46,2.31
177.67,135.4,3.24,0.46,2.31
177.67,135.4,3.24,0.46,2.31
178.19,135.91,3.13,0.52,2.21
175.9,133.62,3.23,0.47,3.21
178.19,135.91,3.13,0.53,2.92
178.19,135.91,3.13,0.53,2.92
178.19,135.91,3.13,0.53,2.92
178.19,135.91,3.13,0.53,2.92
177.67,135.4,3.29,0.43,2.27
177.67,135.4,3.24,0.46,2.31
177.67,135.4,3.29,0.43,2.27
178.19,135.91,3.13,0.52,2.21
175.9,133.62,3.23,0.47,3.21
178.19,135.91,3.13,0.53,2.92
178.19,135.91,3.13,0.53,2.92
178.19,135.91,3.09,0.54,3.09
178.19,135.91,3.12,0.53,3.12
214.98,156.14,2.59,0.89,2.0
178.19,135.91,3.12,0.53,3.12
177.67,135.4,3.24,0.46,2.31
177.67,135.4,3.24,0.46,2.31
177.67,135.4,3.29,0.43,2.27
177.67,135.4,3.24,0.46,2.31
179.37,137.02,3.37,0.39,2.81
177.67,135.4,3.29,0.43,2.27
143.51,74.16,3.46,-0.38,3.06
179.37,137.02,3.37,0.39,2.81
143.51,74.16,3.54,-0.4,3.34
142.87,72.97,14.28,-11.05,14.26
142.87,72.97,14.36,-11.12,14.23
134.41,62.35,14.81,-11.57,13.89
145.2,76.37,13.86,-10.64,13.81
145.2,76.37,13.86,-10.64,13.81
145.2,76.37,14.07,-10.84,14.02
151.13,86.44,13.11,-9.9,12.0
152.3,89.15,13.03,-9.83,11.91
151.13,86.44,13.26,-10.06,12.17
145.2,76.37,13.95,-10.72,13.89
145.2,76.37,14.11,-10.88,14.06
145.2,76.37,13.9,-10.68,13.85
142.87,72.97,14.28,-11.05,14.26
142.87,72.97,14.28,-11.05,14.26
152.81,90.27,12.6,-9.41,10.31
152.3,89.15,12.95,-9.75,11.82
151.13,86.44,13.15,-9.94,12.04
150.72,85.63,13.42,-10.21,12.34
155.39,95.45,11.05,-7.91,6.42
155.21,95.45,11.13,-7.99,3.01
158.72,104.49,8.65,-5.72,8.65
160.07,107.82,8.17,-5.29,8.17
160.07,107.82,8.28,-5.38,8.28
159.4,106.17,8.44,-5.53,8.44
158.72,104.49,8.71,-5.77,8.58
158.05,102.83,8.92,-5.97,8.8
158.72,104.49,8.65,-5.72,8.65
157.68,101.93,9.19,-6.21,9.07
157.68,101.93,9.41,-6.4,9.29
158.05,102.83,9.14,-6.16,9.02
157.31,101.0,9.67,-6.65,9.55
156.93,100.04,9.95,-6.91,9.82
157.31,101.0,9.67,-6.65,9.55
156.93,100.04,9.86,-6.82,9.72
157.31,101.0,9.62,-6.6,9.5
157.31,101.0,9.67,-6.65,9.55
158.05,102.83,9.14,-6.16,9.02
157.68,101.93,9.35,-6.36,9.23
156.54,99.06,10.0,-6.95,9.86
156.54,99.06,10.09,-7.03,9.1
156.54,99.06,10.0,-6.95,9.86
156.13,98.05,10.39,-7.31,10.03
156.13,98.05,10.43,-7.35,8.68
156.13,98.05,10.39,-7.31,10.03
155.71,97.01,10.47,-7.38,8.72
156.13,98.05,10.39,-7.31,10.03
156.13,98.05,10.39,-7.31,10.03
155.71,97.01,10.47,-7.38,8.72
155.71,97.01,10.63,-7.52,7.34
155.39,96.24,10.83,-7.71,6.03
155.71,97.01,10.77,-7.66,7.55
155.71,97.01,10.77,-7.66,7.55
155.39,95.45,11.02,-7.89,6.37
155.39,96.24,10.94,-7.81,6.22
155.39,96.24,10.83,-7.71,6.03
155.71,97.01,10.66,-7.56,7.39
155.71,97.01,10.63,-7.52,7.34
155.71,97.01,10.77,-7.66,7.55
155.71,97.01,10.55,-7.45,8.82
155.71,97.01,10.63,-7.52,7.34
155.71,97.01,10.59,-7.49,8.86
156.54,99.06,10.05,-6.99,9.05
156.54,99.06,10.0,-6.95,9.86
156.13,98.05,10.43,-7.35,8.68
156.54,99.06,10.17,-7.11,9.19
155.39,96.24,10.88,-7.76,6.12
143.51,74.16,3.46,-0.38,3.06
142.87,72.97,14.19,-10.96,14.14
140.35,69.62,14.43,-11.19,14.36
142.87,72.97,14.19,-10.96,14.14
134.41,62.35,14.81,-11.57,13.89
151.13,86.44,13.15,-9.94,12.04
145.2,76.37,13.95,-10.72,13.89
152.3,89.15,12.68,-9.48,10.4
152.3,89.15,12.95,-9.75,11.82
153.4,91.56,12.45,-9.27,10.13
153.4,91.56,12.57,-9.38,10.26
152.3,89.15,12.68,-9.48,10.4
151.13,86.44,13.15,-9.94,12.04
151.13,86.44,13.15,-9.94,12.04
153.4,91.56,12.38,-9.19,10.03
153.4,91.56,12.53,-9.34,10.22
153.4,92.24,12.31,-9.12,9.94
154.12,93.24,11.97,-8.79,9.52
154.12,92.24,12.08,-8.9,9.66
153.84,92.24,12.19,-9.01,9.8
154.93,95.12,11.41,-8.25,6.92
155.21,95.45,11.13,-7.99,3.01
154.93,95.12,11.32,-8.17,6.77
154.66,94.5,11.55,-8.39,7.15
154.66,94.5,11.64,-8.48,7.3
154.66,94.5,11.49,-8.33,7.06
154.4,93.88,11.79,-8.62,7.53
155.39,95.45,11.08,-7.94,6.47
155.39,95.45,11.11,-7.97,6.51
155.39,96.24,10.83,-7.71,6.03
155.39,96.24,10.94,-7.81,6.22
155.39,95.45,11.11,-7.97,6.51
155.21,95.45,11.13,-7.99,3.01
155.39,95.45,11.11,-7.97,6.51
153.4,91.56,12.45,-9.27,10.13
154.12,93.24,11.97,-8.79,9.52
153.84,92.24,12.19,-9.01,9.8
153.4,92.24,12.23,-9.05,9.85
153.4,92.24,12.31,-9.12,9.94
154.93,95.12,11.44,-8.28,6.96
154.66,94.5,11.61,-8.45,7.25
155.21,95.45,11.13,-7.99,3.01
154.93,95.12,11.41,-8.25,6.92
154.93,95.12,11.32,-8.17,6.77
154.93,95.12,11.44,-8.28,6.96
154.12,92.24,12.08,-8.9,9.66
154.4,93.88,11.7,-8.53,7.39
154.66,94.5,11.58,-8.42,7.2
154.12,93.24,11.97,-8.79,9.52
110.01,42.7,6.59,-3.88,6.59
112.03,44.11,7.05,-4.28,6.89
125.58,56.45,7.22,-4.43,7.07
155.13,96.54,7.56,-4.74,7.42
161.13,110.28,7.79,-4.94,7.65
155.13,96.54,7.5,-4.69,7.36
156.54,99.06,10.05,-6.99,9.05
156.13,98.05,10.39,-7.31,10.03
156.54,99.06,10.0,-6.95,9.86
156.54,99.06,10.0,-6.95,9.86
157.31,101.0,9.51,-6.5,9.39
156.93,100.04,9.77,-6.73,9.63
158.05,102.83,8.98,-6.02,8.85
157.68,101.93,9.25,-6.26,9.12
157.68,101.93,9.41,-6.4,9.29
158.72,104.49,8.65,-5.72,8.65
158.72,104.49,8.76,-5.82,8.63
160.07,107.82,7.9,-5.04,7.76
159.4,106.17,8.39,-5.48,8.39
159.4,106.17,8.39,-5.48,8.39
158.72,104.49,8.65,-5.72,8.65
159.4,106.17,8.5,-5.58,8.49
158.72,104.49,8.82,-5.87,8.69
158.72,104.49,8.71,-5.77,8.58
125.58,56.45,7.33,-4.53,7.18
155.13,96.54,7.56,-4.74,7.42
112.03,44.11,6.87,-4.13,6.72
112.03,44.11,7.05,-4.28,6.89
112.03,44.11,6.87,-4.13,6.72
112.03,44.11,7.1,-4.33,6.95
112.03,44.11,7.1,-4.33,6.95
108.96,41.97,6.37,-3.68,6.36
110.01,42.7,6.71,-3.98,6.7
103.46,38.26,5.74,-3.12,5.73
106.86,40.58,6.09,-3.43,6.08
103.46,38.26,5.86,-3.22,5.85
108.96,41.97,6.31,-3.63,6.31
106.86,40.58,6.2,-3.53,6.19
106.86,40.58,6.2,-3.53,6.19
110.01,42.7,6.54,-3.83,6.53
108.96,41.97,6.37,-3.68,6.36
110.01,42.7,6.82,-4.08,6.81
110.01,42.7,6.76,-4.03,6.76
110.01,42.7,6.76,-4.03,6.76
110.01,42.7,6.59,-3.88,6.59
110.01,42.7,6.82,-4.08,6.81
95.47,33.18,5.08,-2.55,5.05
95.47,33.18,5.23,-2.68,4.98
90.88,30.33,4.52,-2.08,4.36
90.88,30.33,4.61,-2.16,4.22
90.88,30.33,4.67,-2.2,4.28
75.63,21.13,3.11,-1.13,2.12
85.78,27.24,3.68,-1.44,3.58
75.63,21.13,3.06,-1.13,2.23
85.78,27.24,3.73,-1.48,3.49
85.78,27.24,3.73,-1.48,3.49
75.63,21.13,3.06,-1.13,2.23
85.78,27.24,3.76,-1.5,3.52
85.78,27.24,3.76,-1.5,3.52
88.59,28.93,4.26,-1.88,4.02
88.59,28.93,4.21,-1.84,4.03
85.78,27.24,3.95,-1.64,3.76
88.59,28.93,4.16,-1.8,3.98
85.78,27.24,3.91,-1.61,3.71
88.59,28.93,4.21,-1.84,4.03
95.47,33.18,5.23,-2.68,4.98
90.88,30.33,4.61,-2.16,4.22
95.47,33.18,5.19,-2.64,5.15
103.46,38.26,5.63,-3.02,5.62
103.46,38.26,5.57,-2.97,5.56
88.59,28.93,4.26,-1.88,4.02
90.88,30.33,4.52,-2.08,4.36
103.46,38.26,5.74,-3.12,5.73
90.88,30.33,4.61,-2.16,4.22
90.88,30.33,4.61,-2.16,4.22
95.47,33.18,5.23,-2.68,4.98
118.37,6.87,8.5,-6.57,0.85
75.42,6.4,1.52,1.48,0.85
75.63,21.13,3.02,-1.12,2.62
67.48,16.27,2.59,-1.01,2.29
67.48,16.27,2.59,-1.01,2.29
60.65,9.6,1.67,1.31,1.1
67.48,16.27,2.59,-1.01,2.29
67.48,16.27,2.59,-1.01,2.29
71.53,18.68,2.93,-1.09,2.69
71.53,18.68,2.78,-1.04,2.59
75.63,21.13,3.02,-1.12,2.62
75.63,21.13,3.02,-1.12,2.62
75.63,21.13,3.02,-1.12,2.62
67.48,16.27,2.63,-1.02,2.34
67.48,16.27,2.63,-1.02,2.34
71.53,18.68,2.93,-1.09,2.69
155.13,96.54,7.67,-4.84,7.53
125.58,56.45,7.22,-4.43,7.07
155.13,96.54,7.45,-4.64,7.3
161.13,110.28,7.79,-4.94,7.65
160.28,108.3,7.86,-5.0,7.72
175.3,132.6,3.28,0.49,2.75
151.87,89.56,12.78,-9.58,10.52
156.36,98.63,9.92,-6.88,9.79
154.6,94.35,11.13,-7.99,6.55
177.5,135.23,3.12,0.57,3.12
175.3,132.94,3.24,0.51,2.29
145.84,77.27,14.17,-10.94,14.12
157.46,101.36,8.94,-5.98,8.82
155.58,96.7,10.45,-7.36,8.71
155.28,95.96,10.79,-7.67,7.58
155.58,96.7,10.53,-7.44,8.8
153.17,91.08,12.33,-9.15,9.97
153.88,92.39,11.75,-8.59,7.47
154.6,94.35,11.15,-8.01,3.04
129.89,59.36,6.83,-4.09,6.83
104.85,39.2,6.1,-3.44,6.09
129.89,59.36,6.89,-4.14,6.74
72.52,16.77,3.09,-1.11,2.29
88.7,28.98,4.53,-2.09,4.38
177.5,135.23,3.12,0.57,3.12
177.5,135.23,3.14,0.56,2.67
175.3,132.94,3.24,0.51,2.29
177.5,135.23,3.13,0.57,2.91
177.5,135.23,3.13,0.57,2.91
176.97,132.6,3.4,0.42,2.83
175.3,132.94,3.24,0.51,2.29
177.5,135.23,3.13,0.57,2.91
177.5,135.23,3.09,0.58,3.09
176.97,132.6,3.29,0.48,2.25
175.3,132.94,3.24,0.51,2.29
138.99,67.95,14.65,-11.42,14.27
136.33,64.27,3.62,-0.47,3.42
150.72,85.82,13.33,-10.12,12.24
150.72,86.86,13.21,-10.01,12.11
145.84,77.27,14.09,-10.87,14.04
154.6,93.69,11.25,-8.11,6.66
158.92,104.98,8.4,-5.5,8.4
158.92,104.98,8.51,-5.59,8.51
157.46,101.36,8.89,-5.93,8.76
156.74,99.56,9.47,-6.47,9.36
156.36,98.63,9.88,-6.84,9.74
157.1,100.47,9.37,-6.37,9.25
155.98,97.67,10.06,-7.01,9.08
155.58,96.7,10.45,-7.36,8.71
155.98,97.67,10.15,-7.09,9.17
155.58,96.7,10.61,-7.51,8.89
154.95,95.17,10.93,-7.81,6.21
155.28,95.96,10.82,-7.7,6.01
155.28,95.96,10.64,-7.54,7.37
155.58,96.7,10.28,-7.2,9.92
144.65,75.53,14.21,-10.98,14.16
152.85,89.56,12.59,-9.4,10.29
151.87,86.86,13.09,-9.89,11.98
153.17,91.69,12.1,-8.93,9.69
153.17,91.08,12.33,-9.15,9.97
154.44,93.69,11.37,-8.22,6.85
154.17,93.05,11.6,-8.44,7.23
154.95,95.17,11.01,-7.88,6.35
154.6,94.35,11.13,-7.99,6.55
153.17,91.69,12.1,-8.93,9.69
154.17,93.05,11.52,-8.36,7.09
154.17,92.39,11.63,-8.47,7.28
105.88,39.88,6.27,-3.59,6.26
151.25,86.97,7.29,-4.5,7.15
157.46,101.36,9.1,-6.13,8.98
156.74,99.56,9.58,-6.57,9.47
159.6,106.65,8.24,-5.35,8.24
158.24,103.29,8.72,-5.79,8.6
129.89,59.36,6.89,-4.14,6.74
151.25,86.97,7.35,-4.55,7.2
101.57,37.09,5.82,-3.18,5.81
105.88,39.88,6.5,-3.79,6.49
107.91,41.25,6.66,-3.94,6.66
88.7,28.98,4.53,-2.09,4.38
93.17,31.73,5.15,-2.6,5.11
72.52,16.77,3.06,-1.1,2.25
83.63,25.94,4.02,-1.68,3.83
83.63,25.94,4.02,-1.68,3.83
97.04,34.19,5.2,-2.65,5.17
88.7,28.98,4.58,-2.13,4.42
97.04,34.19,5.2,-2.65,5.17
53.72,7.76,1.67,1.27,1.12
68.36,16.77,2.89,-1.05,2.65
68.36,16.77,2.59,-0.98,2.3
68.36,16.77,2.94,-1.06,2.7
161.01,109.92,7.52,-4.7,7.38
177.5,135.23,3.12,0.57,3.12
177.5,135.23,3.12,0.57,3.12
177.5,135.23,3.12,0.57,3.12
