total_sediment_thick,seafloor_age,conv_rate,dist_nearest_edge,subducting_abs_rate
131.92,60.42,10.79,22.15,-9.01
131.92,60.42,10.76,21.36,-9.0
152.88,90.29,10.93,30.54,-9.02
151.61,87.67,10.94,31.94,-9.0
151.67,87.23,10.93,30.37,-9.02
152.88,90.29,10.93,30.54,-9.02
149.53,84.0,10.92,28.73,-9.04
149.53,84.0,10.92,29.3,-9.03
144.21,73.72,10.89,26.77,-9.04
147.2,77.41,10.91,27.75,-9.04
147.2,84.0,10.91,27.94,-9.04
143.37,73.67,10.87,25.41,-9.04
143.37,73.67,10.87,25.6,-9.04
140.34,69.65,10.8,22.74,-9.02
140.34,69.65,10.84,24.28,-9.03
140.34,69.65,10.84,24.28,-9.03
142.05,71.9,10.86,25.22,-9.04
142.05,71.9,10.85,24.84,-9.04
143.37,73.67,10.88,25.99,-9.04
143.37,73.67,10.87,25.6,-9.04
128.9,57.57,10.74,20.76,-9.0
131.92,60.42,10.77,21.75,-9.01
123.4,52.75,10.68,19.18,-8.97
125.97,54.95,10.7,19.77,-8.98
123.4,52.75,10.68,19.18,-8.97
125.97,54.95,10.72,20.17,-8.99
125.97,54.95,10.7,19.77,-8.98
117.16,47.82,10.62,17.67,-8.94
123.4,52.75,10.65,18.42,-8.95
99.9,35.47,10.52,15.22,-8.88
109.66,43.4,10.58,16.54,-8.91
109.66,43.4,10.54,15.78,-8.9
117.16,47.82,10.61,17.29,-8.93
109.66,43.4,10.59,16.91,-8.92
109.66,43.4,10.59,16.91,-8.92
123.4,52.75,10.63,17.85,-8.94
117.16,47.82,10.62,17.67,-8.94
123.4,52.75,10.67,18.98,-8.96
123.4,52.75,10.67,18.98,-8.96
123.4,52.75,10.67,18.8,-8.96
123.4,52.75,10.65,18.23,-8.95
123.4,52.75,10.67,18.98,-8.96
95.45,33.34,10.41,13.21,-8.82
95.45,33.34,10.44,13.71,-8.84
80.02,23.67,10.3,11.31,-8.75
80.02,23.67,10.33,11.8,-8.77
80.02,23.67,10.33,11.8,-8.77
56.33,9.22,9.98,6.56,-8.54
67.61,16.46,10.11,8.48,-8.63
56.33,9.22,9.95,6.19,-8.52
67.61,16.46,10.12,8.63,-8.64
67.61,16.46,10.12,8.63,-8.64
56.33,9.22,9.95,6.19,-8.52
67.61,16.46,10.12,8.63,-8.64
67.61,16.46,10.12,8.63,-8.64
77.23,20.79,10.25,10.45,-8.72
77.23,20.79,10.25,10.45,-8.72
71.04,18.27,10.18,9.4,-8.67
77.23,20.79,10.22,10.1,-8.7
71.04,18.27,10.17,9.25,-8.67
77.23,20.79,10.22,10.1,-8.7
95.45,33.34,10.45,13.87,-8.84
80.02,23.67,10.32,11.62,-8.76
95.45,33.34,10.43,13.55,-8.83
96.8,34.27,10.51,15.03,-8.88
96.8,34.27,10.49,14.65,-8.86
77.23,20.79,10.25,10.45,-8.72
80.02,23.67,10.31,11.46,-8.76
99.9,35.47,10.52,15.22,-8.88
80.02,23.67,10.32,11.62,-8.76
80.02,23.67,10.32,11.62,-8.76
95.45,33.34,10.43,13.55,-8.83
76.52,7.11,1.99,0.09,-1.23
76.52,7.11,1.99,0.09,-1.23
56.33,9.22,9.94,6.05,-8.51
48.19,7.41,9.82,4.52,-8.43
48.19,7.41,9.82,4.52,-8.43
73.53,6.0,9.53,0.69,-8.23
48.19,7.41,9.82,4.52,-8.43
48.19,7.41,9.82,4.52,-8.43
52.02,7.41,9.91,5.72,-8.5
52.02,7.41,9.87,5.18,-8.47
56.33,9.22,9.94,6.05,-8.51
56.33,9.22,9.94,6.05,-8.51
56.33,9.22,9.94,6.05,-8.51
48.19,7.41,9.83,4.67,-8.44
52.02,7.41,9.85,4.99,-8.46
52.02,7.41,9.91,5.72,-8.5
131.92,60.42,10.79,22.15,-9.01
125.97,54.95,10.72,20.17,-8.99
128.9,57.57,10.75,21.16,-9.0
131.92,60.42,10.79,22.15,-9.01
138.44,67.33,10.9,23.44,-8.99
252.56,167.85,1.33,3.45,1.24
110.8,43.18,10.75,17.16,-8.59
152.4,89.81,11.03,31.08,-8.99
146.38,78.18,11.0,27.81,-8.9
252.56,170.08,1.37,1.71,1.23
252.56,167.85,1.34,2.99,1.24
89.82,29.54,10.45,11.12,-8.27
144.89,77.4,10.99,27.27,-9.01
149.76,83.91,11.03,31.8,-8.97
149.65,81.12,11.02,30.1,-8.94
149.76,83.91,11.03,31.26,-8.96
122.21,52.65,10.85,19.9,-8.7
126.74,56.48,10.94,23.21,-8.8
146.38,78.18,11.0,27.62,-8.9
125.99,54.97,10.78,19.88,-8.94
109.18,42.16,10.69,17.43,-8.89
125.99,54.97,10.79,20.07,-8.94
57.6,9.97,10.08,7.19,-8.51
93.44,31.92,10.42,12.2,-8.73
252.56,170.08,1.37,1.71,1.23
252.56,170.08,1.37,1.76,-1.23
252.56,167.85,1.34,2.99,1.24
252.56,170.08,1.37,1.71,1.23
252.56,170.08,1.37,1.71,1.23
75.17,27.95,1.31,4.81,1.25
252.56,167.85,1.34,2.99,1.24
252.56,170.08,1.37,1.71,1.23
252.56,170.08,1.37,1.32,1.23
252.56,167.85,1.33,3.62,-1.24
252.56,167.85,1.34,2.99,1.24
103.2,38.06,1.24,8.46,1.28
104.38,38.77,1.26,7.48,1.27
96.9,35.23,10.65,14.84,-8.48
96.9,35.23,10.69,15.61,-8.51
89.82,29.54,10.45,11.12,-8.27
146.38,70.95,10.99,26.45,-8.88
141.28,70.88,10.95,25.36,-9.0
141.28,70.88,10.96,25.74,-9.0
144.89,77.4,10.98,27.08,-9.01
147.97,83.27,11.01,29.23,-9.0
152.4,89.81,11.02,30.73,-8.99
147.97,83.27,11.01,28.84,-9.01
150.91,86.04,11.03,31.61,-8.99
149.76,83.91,11.03,31.8,-8.97
150.91,86.04,11.03,31.79,-8.98
149.76,83.91,11.03,31.08,-8.96
148.09,81.12,11.01,29.14,-8.92
149.65,81.12,11.02,29.9,-8.94
149.65,83.75,11.02,30.69,-8.95
149.76,83.91,11.03,32.32,-8.97
89.82,29.54,10.44,10.93,-8.25
120.63,50.43,10.81,18.72,-8.65
111.85,43.87,10.72,16.39,-8.55
125.03,54.04,10.89,21.27,-8.74
122.21,52.65,10.86,20.09,-8.7
138.36,70.95,10.98,25.5,-8.86
126.74,59.5,10.95,24.16,-8.83
148.09,80.94,11.01,28.38,-8.91
146.38,78.18,11.0,27.81,-8.9
125.03,54.04,10.89,21.27,-8.74
138.36,59.5,10.96,24.73,-8.84
126.74,59.5,10.95,24.16,-8.83
109.18,42.16,10.71,17.99,-8.9
135.09,60.21,10.85,21.65,-8.97
144.89,77.4,11.0,27.86,-9.01
151.17,87.79,11.02,29.81,-9.0
139.88,69.12,10.94,24.99,-9.0
142.59,72.62,10.97,26.49,-9.01
125.99,54.97,10.79,20.07,-8.94
135.09,60.21,10.85,21.65,-8.97
107.62,40.97,10.65,16.49,-8.86
125.99,54.97,10.74,18.75,-8.91
125.99,54.97,10.77,19.5,-8.93
93.44,31.92,10.41,12.03,-8.72
97.43,32.88,10.54,14.27,-8.8
57.6,9.97,10.07,7.08,-8.5
73.24,22.88,10.31,10.47,-8.66
73.24,19.11,10.3,10.3,-8.65
97.43,32.88,10.55,14.44,-8.8
93.44,31.92,10.42,12.2,-8.73
97.43,32.88,10.55,14.44,-8.8
70.7,4.9,9.66,1.6,-8.22
75.41,6.62,10.02,6.44,-8.47
70.43,4.61,9.94,5.41,-8.41
75.41,6.62,10.03,6.62,-8.48
136.83,63.01,10.87,22.25,-8.97
252.56,170.08,1.37,1.62,1.23
252.56,170.08,1.37,1.71,1.23
252.56,170.08,1.37,1.62,1.23
252.56,170.08,1.37,1.71,1.23
252.56,170.08,1.37,1.76,-1.23
252.56,170.08,1.37,1.71,1.23
252.56,167.85,1.34,2.99,1.24
252.56,167.85,1.34,2.99,1.24
252.56,167.85,1.34,2.99,1.24
252.56,167.85,1.34,2.99,1.24
252.56,170.08,1.37,1.76,-1.23
252.56,167.85,1.34,2.99,1.24
252.56,170.08,1.37,1.71,1.23
252.56,170.08,1.37,1.71,1.23
252.56,170.08,1.37,1.71,1.23
252.56,170.08,1.37,1.71,1.23
252.56,167.85,1.33,3.62,-1.24
252.56,167.85,1.34,2.99,1.24
252.56,167.85,1.33,3.45,1.24
252.56,170.08,1.37,1.76,-1.23
252.56,167.85,1.34,2.99,1.24
252.56,170.08,1.37,1.71,1.23
252.56,170.08,1.37,1.71,1.23
252.56,170.08,1.37,1.32,1.23
252.56,170.08,1.37,1.62,1.23
301.23,177.96,1.46,2.27,1.18
252.56,170.08,1.37,1.62,1.23
252.56,167.85,1.34,2.99,1.24
252.56,167.85,1.34,2.99,1.24
252.56,167.85,1.33,3.62,-1.24
252.56,167.85,1.33,3.45,1.24
75.17,27.95,1.31,4.81,1.25
252.56,167.85,1.33,3.45,1.24
105.47,38.53,1.29,5.72,1.25
75.17,27.95,1.31,4.81,1.25
105.47,38.53,1.27,6.6,1.26
100.67,36.33,10.38,10.02,-8.2
100.67,36.33,10.36,9.71,-8.18
104.38,38.77,1.26,7.48,1.27
89.54,29.37,10.52,12.31,-8.34
89.54,29.37,10.52,12.31,-8.34
89.82,29.54,10.46,11.32,-8.28
96.9,35.23,10.7,16.0,-8.53
111.85,43.87,10.72,16.39,-8.55
96.9,35.23,10.67,15.23,-8.5
89.54,29.37,10.51,12.11,-8.33
89.82,29.54,10.45,11.12,-8.27
89.54,29.37,10.51,12.11,-8.33
100.67,36.33,10.41,10.42,-8.22
100.67,36.33,10.41,10.42,-8.22
120.63,50.43,10.8,18.53,-8.64
111.85,43.87,10.74,16.77,-8.57
96.9,35.23,10.69,15.61,-8.51
96.9,35.23,10.63,14.46,-8.46
148.09,80.94,11.01,28.19,-8.91
146.38,78.18,11.0,27.62,-8.9
142.59,72.62,10.97,26.3,-9.01
139.88,69.12,10.93,24.61,-9.0
139.88,69.12,10.94,24.99,-9.0
141.28,70.88,10.95,25.55,-9.0
142.59,72.62,10.97,26.49,-9.01
144.89,77.4,10.98,27.08,-9.01
142.59,72.62,10.97,26.49,-9.01
144.89,77.4,11.0,28.25,-9.01
147.97,83.27,11.01,29.03,-9.0
144.89,77.4,11.0,28.06,-9.01
151.17,87.79,11.02,30.2,-9.0
152.4,89.81,11.02,30.73,-8.99
151.17,87.79,11.02,30.01,-9.0
152.4,89.81,11.02,30.73,-8.99
151.17,87.79,11.02,29.81,-9.0
151.17,87.79,11.02,29.81,-9.0
144.89,77.4,11.0,28.06,-9.01
147.97,83.27,11.01,28.84,-9.01
152.4,89.81,11.03,31.26,-8.99
150.91,86.04,11.03,31.61,-8.99
152.4,89.81,11.03,31.26,-8.99
149.76,83.91,11.03,31.98,-8.97
149.76,83.91,11.03,31.8,-8.97
149.76,83.91,11.03,31.98,-8.97
149.76,83.91,11.03,31.62,-8.96
149.76,83.91,11.03,31.98,-8.97
149.76,83.91,11.03,31.98,-8.97
149.76,83.91,11.03,31.62,-8.96
149.65,83.75,11.02,30.69,-8.95
149.65,81.12,11.02,29.9,-8.94
149.65,81.12,11.02,29.9,-8.94
149.65,81.12,11.02,30.1,-8.94
148.09,81.12,11.01,28.57,-8.91
148.09,81.12,11.01,28.95,-8.92
149.65,81.12,11.02,29.71,-8.93
149.65,83.75,11.02,30.69,-8.95
149.76,83.91,11.03,30.89,-8.95
149.65,81.12,11.02,30.1,-8.94
149.76,83.91,11.03,31.26,-8.96
149.76,83.91,11.03,30.89,-8.95
149.76,83.91,11.03,31.08,-8.96
150.91,86.04,11.03,31.44,-8.99
150.91,86.04,11.03,31.44,-8.99
149.76,83.91,11.03,31.8,-8.97
150.91,86.04,11.03,31.97,-8.98
148.09,81.12,11.02,29.33,-8.93
105.47,38.53,1.29,5.72,1.25
89.82,29.54,10.44,10.93,-8.25
100.67,36.33,10.36,9.71,-8.18
100.67,36.33,10.41,10.42,-8.22
104.38,38.77,1.26,7.48,1.27
96.9,35.23,10.7,16.0,-8.53
89.82,29.54,10.48,11.71,-8.3
120.63,50.43,10.79,18.13,-8.63
111.85,43.87,10.74,16.77,-8.57
119.4,52.65,10.84,19.5,-8.68
120.63,50.43,10.81,18.72,-8.65
120.63,50.43,10.79,18.13,-8.63
96.9,35.23,10.69,15.61,-8.51
96.9,35.23,10.7,16.0,-8.53
119.4,52.65,10.84,19.5,-8.68
120.63,52.65,10.82,18.92,-8.66
122.21,52.65,10.86,20.09,-8.7
125.03,54.04,10.91,21.85,-8.76
125.03,54.04,10.89,21.27,-8.74
122.21,51.71,10.87,20.68,-8.72
138.36,70.95,10.97,25.31,-8.85
146.38,78.18,11.0,27.62,-8.9
146.38,70.95,10.98,26.07,-8.87
126.74,59.5,10.96,24.54,-8.84
126.74,56.48,10.94,23.59,-8.81
138.36,59.5,10.96,24.73,-8.84
125.03,56.48,10.93,23.02,-8.8
148.09,80.94,11.01,28.19,-8.91
146.38,78.18,11.0,27.81,-8.9
149.65,81.12,11.02,29.52,-8.93
148.09,81.12,11.01,28.76,-8.92
146.38,78.18,11.0,27.81,-8.9
146.38,78.18,11.0,27.62,-8.9
146.38,78.18,11.0,27.81,-8.9
119.4,52.65,10.84,19.5,-8.68
125.03,54.04,10.91,21.85,-8.76
122.21,52.65,10.87,20.48,-8.72
122.21,52.65,10.87,20.48,-8.72
122.21,52.65,10.85,19.9,-8.7
138.36,59.5,10.97,25.12,-8.85
126.74,59.5,10.95,24.16,-8.83
146.38,78.18,11.0,27.62,-8.9
138.36,70.95,10.98,25.5,-8.86
146.38,78.18,11.0,27.62,-8.9
138.36,59.5,10.97,25.12,-8.85
125.03,54.04,10.89,21.27,-8.74
126.74,56.48,10.94,23.59,-8.81
126.74,59.5,10.95,24.16,-8.83
125.03,54.04,10.91,21.85,-8.76
125.99,54.97,10.76,19.12,-8.92
128.75,57.43,10.81,20.47,-8.95
135.09,60.21,10.84,21.26,-8.96
136.83,63.01,10.87,22.45,-8.98
138.44,67.33,10.9,23.24,-8.99
136.83,63.01,10.87,22.25,-8.97
150.91,86.04,11.03,31.61,-8.99
149.76,83.91,11.03,31.98,-8.97
152.4,89.81,11.03,31.08,-8.99
150.91,86.04,11.03,31.44,-8.99
151.17,87.79,11.01,29.42,-9.0
151.17,87.79,11.02,30.2,-9.0
144.89,77.4,10.99,27.47,-9.01
147.97,83.27,11.0,28.45,-9.01
147.97,83.27,11.01,28.84,-9.01
142.59,72.62,10.97,26.3,-9.01
142.59,72.62,10.97,26.49,-9.01
138.44,67.33,10.91,23.83,-8.99
141.28,70.88,10.95,25.36,-9.0
141.28,70.88,10.95,25.36,-9.0
141.28,70.88,10.97,26.11,-9.01
141.28,70.88,10.96,25.74,-9.0
144.89,77.4,10.98,27.08,-9.01
142.59,72.62,10.97,26.49,-9.01
135.09,60.21,10.85,21.65,-8.97
136.83,67.33,10.88,22.64,-8.98
125.99,54.97,10.79,20.07,-8.94
128.75,57.43,10.81,20.66,-8.95
125.99,54.97,10.79,20.07,-8.94
135.09,57.43,10.82,20.86,-8.95
135.09,57.43,10.82,20.86,-8.95
119.87,49.91,10.73,18.37,-8.91
125.99,54.97,10.77,19.5,-8.93
107.62,40.97,10.63,16.11,-8.85
109.18,42.16,10.69,17.43,-8.89
107.62,40.97,10.66,16.68,-8.87
119.87,49.91,10.72,18.18,-8.9
109.18,42.16,10.71,17.81,-8.9
109.18,42.16,10.71,17.99,-8.9
125.99,54.97,10.76,19.12,-8.92
125.99,54.97,10.74,18.56,-8.91
125.99,54.97,10.78,19.88,-8.94
125.99,54.97,10.78,19.88,-8.94
125.99,54.97,10.78,19.69,-8.93
125.99,54.97,10.76,19.12,-8.92
125.99,54.97,10.78,19.88,-8.94
97.43,32.88,10.53,14.1,-8.79
97.43,32.88,10.56,14.6,-8.81
93.44,31.92,10.42,12.2,-8.73
93.44,31.92,10.44,12.52,-8.74
93.44,31.92,10.44,12.52,-8.74
57.6,9.97,10.11,7.58,-8.53
65.87,15.46,10.23,9.37,-8.61
57.6,9.97,10.07,7.08,-8.5
73.24,15.46,10.25,9.53,-8.62
73.24,15.46,10.25,9.53,-8.62
57.6,9.97,10.07,7.08,-8.5
73.24,15.46,10.25,9.64,-8.62
73.24,15.46,10.25,9.53,-8.62
78.46,22.88,10.35,11.17,-8.69
78.46,22.88,10.35,11.17,-8.69
73.24,19.11,10.3,10.3,-8.65
78.46,22.88,10.35,11.17,-8.69
73.24,19.11,10.3,10.3,-8.65
78.46,22.88,10.35,11.17,-8.69
97.43,32.88,10.57,14.76,-8.81
93.44,31.92,10.44,12.52,-8.74
97.43,32.88,10.55,14.44,-8.8
107.62,40.97,10.63,16.11,-8.85
107.62,40.97,10.61,15.54,-8.84
78.46,22.88,10.35,11.17,-8.69
93.44,31.92,10.42,12.2,-8.73
107.62,40.97,10.63,16.11,-8.85
93.44,31.92,10.44,12.52,-8.74
93.44,31.92,10.44,12.52,-8.74
97.43,32.88,10.55,14.44,-8.8
72.5,5.19,9.52,0.07,-8.12
73.66,6.02,9.6,0.98,-8.18
57.6,9.97,10.06,6.94,-8.49
70.43,4.61,9.94,5.41,-8.41
70.43,4.61,9.94,5.41,-8.41
70.7,4.9,9.66,1.6,-8.22
70.43,4.61,9.94,5.41,-8.41
70.43,4.61,9.94,5.41,-8.41
75.41,6.62,10.03,6.62,-8.48
75.41,6.62,9.99,6.07,-8.45
57.6,9.97,10.06,6.94,-8.49
57.6,9.97,10.06,6.94,-8.49
57.6,9.97,10.06,6.94,-8.49
70.43,4.61,9.94,5.41,-8.41
75.41,6.62,9.99,6.07,-8.45
75.41,6.62,10.02,6.44,-8.47
136.83,67.33,10.89,22.84,-8.98
135.09,60.21,10.84,21.26,-8.96
135.09,60.21,10.86,21.85,-8.97
138.44,67.33,10.9,23.24,-8.99
137.55,66.36,11.89,22.79,-9.37
210.49,166.68,2.26,3.45,0.73
120.4,50.01,11.45,17.16,-8.77
151.26,86.88,11.93,30.26,-9.32
145.71,77.19,11.83,27.81,-9.18
247.31,168.93,2.24,1.62,0.73
210.49,166.68,2.26,2.99,-0.73
102.19,37.34,11.05,11.12,-8.39
144.57,76.32,11.93,26.63,-9.36
149.21,82.92,11.9,31.8,-9.28
147.97,78.74,11.87,29.9,-9.23
149.21,80.93,11.9,31.44,-9.27
125.29,54.26,11.58,19.7,-8.9
130.38,58.82,11.71,23.21,-9.04
145.71,77.19,11.82,27.62,-9.17
132.49,60.98,11.81,19.23,-9.35
112.61,44.46,11.74,16.78,-9.32
132.49,60.98,11.82,19.42,-9.35
59.72,11.29,11.19,6.54,-9.01
89.61,29.64,11.51,11.71,-9.2
247.31,168.93,2.24,1.62,0.73
247.31,168.93,2.25,1.76,-0.73
210.49,166.68,2.26,2.99,-0.73
247.31,168.93,2.25,1.71,0.73
247.31,168.93,2.25,1.71,0.73
87.43,21.17,2.28,4.96,0.74
210.49,166.68,2.26,2.99,-0.73
247.31,168.93,2.25,1.71,0.73
247.31,168.93,2.24,1.32,0.73
210.49,166.68,2.27,3.62,-0.73
210.49,166.68,2.26,2.99,-0.73
104.36,38.75,2.3,7.96,0.74
105.36,39.42,2.3,7.31,0.74
112.09,46.41,11.31,14.84,-8.63
112.09,46.41,11.36,15.61,-8.68
102.19,37.34,11.07,11.32,-8.4
143.02,73.38,11.8,26.26,-9.14
140.48,69.85,11.92,24.72,-9.37
141.78,71.5,11.93,25.28,-9.37
141.78,71.5,11.93,26.43,-9.37
151.95,88.65,11.94,28.78,-9.34
151.26,86.88,11.93,30.26,-9.32
148.31,82.53,11.94,28.39,-9.35
150.26,84.9,11.92,30.79,-9.31
149.21,82.92,11.9,31.8,-9.28
150.26,84.9,11.92,31.15,-9.3
149.21,80.93,11.89,31.08,-9.26
147.43,78.74,11.85,29.14,-9.21
147.97,78.74,11.87,29.9,-9.23
147.97,80.93,11.88,30.69,-9.25
149.21,82.92,11.91,31.67,-9.29
102.19,37.34,11.02,10.73,-8.36
125.29,54.26,11.54,18.92,-8.86
113.66,45.1,11.41,16.39,-8.73
127.07,55.81,11.64,21.27,-8.97
125.29,54.26,11.59,20.09,-8.92
143.02,73.38,11.78,25.69,-9.12
134.0,62.52,11.74,24.16,-9.08
147.43,77.19,11.84,28.38,-9.19
145.71,77.19,11.83,27.81,-9.18
127.07,55.81,11.64,21.27,-8.97
134.0,62.52,11.76,24.73,-9.09
134.0,62.52,11.73,23.78,-9.06
125.79,54.82,11.75,17.35,-9.33
134.25,62.79,11.86,21.01,-9.37
144.57,76.32,11.94,27.22,-9.36
151.95,88.65,11.93,29.17,-9.34
139.05,68.11,11.91,24.15,-9.37
141.78,71.5,11.93,25.85,-9.37
132.49,60.98,11.82,19.42,-9.35
134.25,62.79,11.86,21.01,-9.37
110.79,43.16,11.7,15.84,-9.3
125.79,54.82,11.78,18.1,-9.34
128.52,57.22,11.8,18.86,-9.35
89.61,29.64,11.49,11.39,-9.19
102.97,37.86,11.61,13.62,-9.25
59.72,11.29,11.18,6.43,-9.0
72.33,19.31,11.4,9.83,-9.14
72.33,19.31,11.38,9.5,-9.12
109.05,41.94,11.61,13.79,-9.26
89.61,29.64,11.51,11.71,-9.2
109.05,41.94,11.61,13.79,-9.26
67.98,3.81,2.91,0.95,-1.09
76.46,6.32,11.14,5.79,-8.97
68.51,3.59,11.06,4.77,-8.93
76.46,6.32,11.15,5.97,-8.98
135.95,64.59,11.87,21.8,-9.37
247.31,168.93,2.24,1.62,0.73
247.31,168.93,2.24,1.62,0.73
247.31,168.93,2.24,1.62,0.73
247.31,168.93,2.25,1.71,0.73
247.31,168.93,2.25,1.76,-0.73
247.31,168.93,2.25,1.71,0.73
210.49,166.68,2.26,2.99,-0.73
210.49,166.68,2.26,2.99,-0.73
210.49,166.68,2.26,2.99,-0.73
210.49,166.68,2.26,2.99,-0.73
247.31,168.93,2.25,1.76,-0.73
210.49,166.68,2.26,2.85,0.73
247.31,168.93,2.25,1.71,0.73
247.31,168.93,2.25,1.71,0.73
247.31,168.93,2.25,1.71,0.73
247.31,168.93,2.25,1.71,0.73
210.49,166.68,2.27,3.62,-0.73
210.49,166.68,2.26,2.99,-0.73
210.49,166.68,2.26,3.45,0.73
247.31,168.93,2.25,1.76,-0.73
210.49,166.68,2.26,2.99,-0.73
247.31,168.93,2.25,1.71,0.73
247.31,168.93,2.25,1.71,0.73
247.31,168.93,2.24,1.32,0.73
247.31,168.93,2.24,1.62,0.73
284.49,176.83,2.17,2.46,0.73
247.31,168.93,2.24,1.62,0.73
210.49,166.68,2.26,2.99,-0.73
210.49,166.68,2.26,2.99,-0.73
210.49,166.68,2.27,3.62,-0.73
210.49,166.68,2.26,3.45,0.73
87.43,21.17,2.28,4.96,0.74
210.49,166.68,2.26,3.45,0.73
105.36,39.42,2.29,5.72,0.74
210.49,166.68,2.28,4.66,0.74
105.36,39.42,2.3,6.76,0.74
102.19,37.34,10.95,9.91,-8.3
103.31,38.06,2.32,9.71,0.74
105.36,39.42,2.3,7.65,0.74
89.01,29.01,11.14,12.31,-8.47
89.01,29.01,11.14,12.31,-8.47
102.19,37.34,11.07,11.32,-8.4
112.09,46.41,11.38,16.0,-8.7
113.66,45.1,11.41,16.39,-8.73
112.09,46.41,11.34,15.23,-8.66
90.96,30.18,11.11,11.91,-8.44
102.19,37.34,11.05,11.12,-8.39
90.96,30.18,11.11,11.91,-8.44
102.19,37.34,11.01,10.56,-8.35
102.19,37.34,10.99,10.42,-8.34
122.51,51.95,11.51,18.33,-8.83
120.4,50.01,11.44,16.97,-8.76
112.09,46.41,11.36,15.61,-8.68
112.09,46.41,11.29,14.46,-8.61
147.43,77.19,11.84,28.19,-9.19
145.71,77.19,11.82,27.62,-9.17
141.78,71.5,11.93,25.66,-9.37
139.05,68.11,11.91,23.97,-9.38
139.05,68.11,11.91,24.15,-9.37
140.48,69.85,11.92,24.91,-9.37
141.78,71.5,11.93,25.85,-9.37
141.78,71.5,11.93,26.43,-9.37
141.78,71.5,11.93,25.66,-9.37
148.31,82.53,11.94,27.8,-9.35
148.31,82.53,11.94,28.39,-9.35
144.57,76.32,11.94,27.41,-9.36
151.95,88.65,11.93,29.55,-9.33
151.26,86.88,11.93,30.26,-9.32
151.95,88.65,11.93,29.36,-9.33
151.26,86.88,11.93,30.08,-9.32
151.95,88.65,11.93,29.17,-9.34
151.95,88.65,11.93,29.17,-9.34
144.57,76.32,11.94,27.41,-9.36
148.31,82.53,11.94,28.19,-9.35
150.26,84.9,11.92,30.61,-9.31
150.26,84.9,11.92,30.79,-9.31
150.26,84.9,11.92,30.61,-9.31
149.21,82.92,11.91,31.98,-9.28
149.21,82.92,11.9,31.8,-9.28
149.21,82.92,11.91,31.98,-9.28
149.21,82.92,11.9,31.8,-9.28
149.21,82.92,11.9,31.8,-9.28
149.21,82.92,11.91,31.98,-9.28
149.21,82.92,11.9,31.8,-9.28
147.97,80.93,11.88,30.69,-9.25
147.97,78.74,11.87,29.9,-9.23
147.97,78.74,11.87,29.9,-9.23
147.97,80.93,11.88,30.3,-9.24
147.43,77.19,11.84,28.57,-9.2
147.43,78.74,11.85,28.95,-9.21
147.97,78.74,11.87,29.71,-9.23
147.97,80.93,11.88,30.69,-9.25
149.21,80.93,11.89,30.89,-9.25
147.97,80.93,11.88,30.3,-9.24
149.21,80.93,11.9,31.44,-9.27
149.21,80.93,11.89,30.89,-9.25
149.21,80.93,11.89,31.08,-9.26
150.26,84.9,11.92,30.79,-9.31
150.26,84.9,11.92,30.79,-9.31
149.21,82.92,11.9,31.8,-9.28
150.26,84.9,11.91,31.5,-9.3
147.43,78.74,11.86,29.33,-9.22
87.43,21.17,2.28,4.96,0.74
102.19,37.34,11.02,10.73,-8.36
103.31,38.06,2.32,9.71,0.74
102.19,37.34,11.01,10.56,-8.35
105.36,39.42,2.3,7.48,0.74
112.09,46.41,11.38,16.0,-8.7
90.96,30.18,11.11,11.91,-8.44
122.51,51.95,11.51,18.33,-8.83
120.4,50.01,11.44,16.97,-8.76
125.29,54.26,11.57,19.5,-8.89
125.29,54.26,11.54,18.92,-8.86
122.51,51.95,11.51,18.33,-8.83
112.09,46.41,11.36,15.61,-8.68
112.09,46.41,11.38,16.0,-8.7
125.29,54.26,11.57,19.5,-8.89
125.29,54.26,11.54,18.92,-8.86
125.29,54.26,11.59,20.09,-8.92
127.07,55.81,11.67,21.85,-8.99
127.07,55.81,11.64,21.27,-8.97
124.25,53.38,11.62,20.68,-8.94
143.02,73.38,11.77,25.31,-9.11
145.71,77.19,11.82,27.62,-9.17
143.02,73.38,11.79,26.07,-9.14
134.0,62.52,11.75,24.35,-9.08
130.38,58.82,11.73,23.59,-9.06
134.0,62.52,11.76,24.73,-9.09
130.38,58.82,11.7,22.82,-9.03
147.43,77.19,11.84,28.19,-9.19
145.71,77.19,11.83,27.81,-9.18
147.97,78.74,11.86,29.52,-9.22
147.43,78.74,11.85,28.95,-9.21
145.71,77.19,11.83,27.81,-9.18
145.71,77.19,11.82,27.62,-9.17
145.71,77.19,11.83,27.81,-9.18
125.29,54.26,11.57,19.5,-8.89
127.07,55.81,11.67,21.85,-8.99
124.25,53.38,11.62,20.68,-8.94
124.25,53.38,11.62,20.68,-8.94
125.29,54.26,11.59,20.09,-8.92
143.02,73.38,11.77,25.31,-9.11
134.0,62.52,11.74,23.97,-9.07
145.71,77.19,11.82,27.62,-9.17
143.02,73.38,11.78,25.69,-9.12
143.02,73.38,11.79,26.07,-9.14
134.0,62.52,11.76,24.93,-9.1
127.07,55.81,11.64,21.07,-8.96
130.38,58.82,11.73,23.59,-9.06
134.0,62.52,11.75,24.35,-9.08
127.07,55.81,11.66,21.66,-8.98
128.52,57.22,11.79,18.48,-9.34
132.49,60.98,11.83,20.02,-9.36
134.25,62.79,11.85,20.61,-9.36
135.95,64.59,11.87,21.8,-9.37
